source,prompt_id,category,requirement,label,max_sim,best_archetype
RQ3_positive,REQ-01,In_Distribution,Khách hàng muốn áp dụng mã giảm giá voucher 20% tại màn hình thanh toán trước khi xác nhận đơn hàng.,1,0.8283872604370117,APPLY_PROMO_CODE
RQ3_positive,REQ-02,In_Distribution,Tích hợp tính năng gợi ý sản phẩm liên quan (You may also like) trên trang chi tiết dựa vào lịch sử xem hàng.,1,0.8205632567405701,GET_CATALOGUE
RQ3_positive,REQ-03,In_Distribution,Theo dõi trạng thái đơn hàng theo thời gian thực với vị trí bưu kiện và tiến độ giao hàng live shipping updates.,1,0.8377482891082764,TRACK_PACKAGE
RQ3_positive,REQ-04,In_Distribution,Cho phép người dùng để lại đánh giá sao (1-5 sao) và bình luận kèm ảnh sau khi hoàn tất mua sắm.,1,0.8241482973098755,WRITE_PRODUCT_REVIEW
RQ3_positive,REQ-05,In_Distribution,Thêm sản phẩm nhanh vào giỏ hàng từ danh sách hiển thị catalogue chỉ với một nút bấm Quick Add.,1,0.7934507727622986,ADD_TO_CART
RQ3_positive,REQ-06,In_Distribution,Xem danh sách và chi tiết các mặt hàng trong giỏ hàng hiện tại kèm tính tổng tiền tạm tính.,1,0.7895069122314453,VIEW_CART
RQ3_positive,REQ-07,In_Distribution,Duyệt danh mục sản phẩm vớ tất thể thao và lọc theo kích cỡ màu sắc từ danh sách catalogue.,1,0.786108136177063,GET_CATALOGUE
RQ3_positive,REQ-08,In_Distribution,Khách hàng mới tạo tài khoản thành viên bằng email và mật khẩu tại trang đăng ký.,1,0.8416069746017456,REGISTER
RQ3_positive,REQ-09,In_Distribution,Đăng nhập người dùng bằng username và xác thực phiên làm việc an toàn.,1,0.7639429569244385,LOGIN
RQ3_positive,REQ-10,In_Distribution,"Quy trình đặt hàng trọn gói bao gồm trừ tồn kho, tính phí vận chuyển và thanh toán thẻ tín dụng.",1,0.7939490675926208,PLACE_ORDER
RQ3_positive,REQ-11,In_Distribution,Thêm mã giảm giá sinh nhật tự động chiết khấu 15% vào hóa đơn giỏ hàng của khách hàng thân thiết.,1,0.7712931632995605,APPLY_PROMO_CODE
RQ3_positive,REQ-12,In_Distribution,Gợi ý các mặt hàng thường được mua cùng nhau (Frequently Bought Together) dưới nút thêm giỏ hàng.,1,0.8076749444007874,ADD_TO_CART
RQ3_positive,REQ-13,In_Distribution,Kiểm tra mã vận đơn chuyển phát nhanh và hiển thị lộ trình tài xế đang giao kiện hàng.,1,0.7917766571044922,TRACK_PACKAGE
RQ3_positive,REQ-14,In_Distribution,Đánh giá chất lượng vớ sau khi nhận hàng và xếp hạng mức độ hài lòng về dịch vụ giao hàng.,1,0.7925888299942017,WRITE_PRODUCT_REVIEW
