msname,metric,n,rel_range,r2,slope
002251d4123496684687c2acad43bdef9419a5e4fc01a65d2c558af92a5ad649,cpu,300,1.2548314332962036,0.0039803241802669476,5.297080362267884e-08
002251d4123496684687c2acad43bdef9419a5e4fc01a65d2c558af92a5ad649,mem,300,1.2548314332962036,0.08099935556163262,-2.3665371800639626e-08
0023afa70a8c05ccf27bff17cbe84c79e18cdf400e92f213851e54c985253ec6,cpu,300,0.22065268456935883,0.8619221967635853,4.766600348747485e-06
0023afa70a8c05ccf27bff17cbe84c79e18cdf400e92f213851e54c985253ec6,mem,300,0.22065268456935883,0.016956234322234698,-1.0242306334827045e-07
00292757babaf611f8dd649bedfbc5cfed3b59f7a2f0e7dc225b2577a3c1ba37,cpu,300,0.34267711639404297,0.014911120652730592,-0.00016503601388109205
00292757babaf611f8dd649bedfbc5cfed3b59f7a2f0e7dc225b2577a3c1ba37,mem,300,0.34267711639404297,0.13401208697435296,-0.002884363954041054
003071d94dbe7b8c77f41b3bf7dc0b5fdef027c56d6430ed74a94153c670c652,cpu,300,0.8374356627464294,0.10626955261765159,5.925416137110367e-05
003071d94dbe7b8c77f41b3bf7dc0b5fdef027c56d6430ed74a94153c670c652,mem,300,0.8374356627464294,0.000527321095784905,-6.510498342386186e-07
0056d10180b7601f584d86613cca7931fc9030a70c1bc6589bf49c8c039c4573,cpu,300,13.919373512268066,3.2920131738944924e-05,-1.1119435362189868e-05
0056d10180b7601f584d86613cca7931fc9030a70c1bc6589bf49c8c039c4573,mem,300,13.919373512268066,0.011996146633810656,1.5258605796458824e-06
005f4852256d09efba0aaad947173fe8e4d615bcd0e43ed0b50722f5c493dd79,cpu,298,16.946081161499023,0.0005126266509806188,-3.2668425519781317e-06
005f4852256d09efba0aaad947173fe8e4d615bcd0e43ed0b50722f5c493dd79,mem,298,16.946081161499023,0.0003118437835794019,-7.336664093247751e-07
006b06cb465b49d445eedd2af00ddd56fbef9ddf72fe091d06baa0cf4dfe920a,cpu,300,1.4227406978607178,0.5902394882166321,0.00045536649845324023
006b06cb465b49d445eedd2af00ddd56fbef9ddf72fe091d06baa0cf4dfe920a,mem,300,1.4227406978607178,0.05051691635282851,1.816140329851014e-05
00994b42ca2c6618970a23c0087bda67eb2a298404dc3a5fad85d46d011d850e,cpu,300,1.3894238471984863,0.23629533360463817,0.00011988847422811262
00994b42ca2c6618970a23c0087bda67eb2a298404dc3a5fad85d46d011d850e,mem,300,1.3894238471984863,3.567680072913415e-05,-1.9214970374182317e-06
00cad2e97b00e0452aa5bdce6a72d9946df32edaf79e7e2df9f932c7cb0ca1e5,cpu,300,0.4575781226158142,0.8072699427592145,7.349638192178596e-05
00cad2e97b00e0452aa5bdce6a72d9946df32edaf79e7e2df9f932c7cb0ca1e5,mem,300,0.4575781226158142,0.3875194043469452,7.539142397358135e-06
00d7f431c614ceb809744092d9dc731b93b77de8d834e5759b0befe055378777,cpu,300,0.3912317752838135,0.10031216195389336,3.900788284268039e-06
00d7f431c614ceb809744092d9dc731b93b77de8d834e5759b0befe055378777,mem,300,0.3912317752838135,0.003855029442282887,4.5106037392966445e-07
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,300,0.6545696258544922,0.8584959268349083,1.3737739522739125e-05
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,mem,300,0.6545696258544922,0.11480708055752487,-9.05614198114446e-08
